date,equity,position,daily_return,peak_equity,drawdown
2025-09-27,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-28,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-29,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-09-30,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-10-01,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-10-02,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-10-03,55171.65588638432,0,0.0,63509.608515342006,-0.13128647497399537
2025-10-04,55088.89840255474,1,-0.0015000000000000568,63509.608515342006,-0.13258954526153433
2025-10-05,56496.651409869824,1,0.025554205078273995,63509.608515342006,-0.11042356061410874
2025-10-06,58050.12152348435,1,0.027496675906408363,63509.608515342006,-0.0859631655663381
2025-10-07,53535.40606360626,1,-0.07777271332759661,63509.608515342006,-0.1570502902616111
2025-10-08,56109.62470928958,1,0.04808441431498345,63509.608515342006,-0.11651754717185536
2025-10-09,53840.331985141675,1,-0.040443912000933335,63509.608515342006,-0.1522490337484056
2025-10-10,41924.94130806344,0,-0.22130975493179583,63509.608515342006,-0.33986459233273913
2025-10-11,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-12,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-13,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-14,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-15,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-16,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-17,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-18,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-19,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-20,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-21,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-22,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
2025-10-23,41924.94130806344,0,0.0,63509.608515342006,-0.33986459233273913
